Activity Code,Activity Name,Description
4752035,Paint & Varnish," Trading Includes reselling of liquid or powdered paints and varnish painting buildings, cars, ships, furniture, including thinners, thickeners, pastes and base paints as well as varnish and similar materials."
4773604,Painting Equipment," Trading Includes reselling painting, polishing or burnishing equipment and machinery."
4773404,Paintings & Frames, Trading Includes reselling paintings made by renowned artists or others.
4773963,Paper Products," Trading Includes reselling paper or carton products, including tableware, plates, cups, napkins, facial tissues, toilets paper, paper towels, diapers, sanitary napkins, except stationery items under no.5133-07."
4752205,Paper Trading," Includes reselling of paper made up of natural ingredients, semi- synthetics or recycled and set in rolls, foils and carton sheets for commercial and industrial uses as in newspapers, printing, packaging, construction, stationery and photocopying paper is excluded as it is classified under No."
5133930,,
4772004,Para-Pharmaceutical," Products Trading Includes reselling para-pharmaceutical products not directly used for medication or treatment, including plasters, after-shave lotions, creams, anti-smoking products, tooth pastes, mouth wash and others sterilization products."
5320009,Parcels Delivery," Includes delivering well wrapped parcels in specific weights and dimensions of 1.5 meters at most, as well as providing courier services. This list is taken from the activity list of International Free Zone Authority (IFZA) and is subject to change without prior intimation by IFZA. T: +971 800 53425  E: clients@legalinz.com www.legalinz.com  IFZA Free Zone Activities List Commercial License Activities Activity Code Activity Name Description"
4922011,Passenger Transport," by Classic Cars Includes transporting passengers by 30+ year old cars, which are classified and licensed by the competent authority as classic cars and are intended for leisure transport inside Dubai only, distance of the tour is determined by the same authority according to the classification of the car."
4922006,Passengers Transport," by Rented Buses Includes firms involved in private hire of buses from charter bus companies to passenger transport, either for short, or a longer contract basis."
4721015,Pastry Trading, Includes reselling pastries in deferent fillings and ready for consumption.
4773202,Pearls & Precious," Stones Trading Includes reselling of natural, cultured and artificial pre-formed pearl, as well as diamond, corundum, emerald, coral and other jewellery and precious stones prior to cutting, polishing and making various types of jewels, artificial precious stones are also included."
