DMCC ACTIVITY SHEET,,,,,,,,,,,,
Category,Activity Code,Activity Name,Activity Name (Arabic),License Type,Description,Business Plan ,Property Type,Restrictions,DMCC Requirements,Minimum Share Capital,Third Party No Objection Certificate 1 (Regulated Activities) ,Third Party No Objection Certificate 2 (Regulated Activities) 
Personal & Household Goods,5131-02,"Blankets, Towels & Linens Trading",تجارة البطانيات والمناشف والمفارش المنزلية,Trading,"Includes reselling household of blankets and linen, including bedcovers, furniture covers, bed sheets, towels, pillows, cushions and covers and all the other similar products.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-04,Oriental Carpets Trading,تجارة السجاد الشرقي,Trading,Includes reselling manually woven oriental carpet.,No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-05,Carpets Trading,تجارة السجاد,Trading,"Includes reselling all types of carpet, including moquette andr decor machine-made pieces.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-06,Flags & Flagpoles Trading,تجارة الاعلام والسواري,Trading,"Includes reselling flags fabrics, paper, plastic or vinyl , also, flagpoles made from steel, aluminum, glass fiber and wood, it includes other accessories related to flags and flagpoles such as rope assemblies, pulleys, winches, finials, anchor bolts, counterweights, etc",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-07,Ready-made Garments Trading,تجارة الملابس الجاهزة,Trading,"Includes reselling outerwear and underwear for men, women and children such as coats, suits, jackets, skirts, shirts, trousers, shorts, coats, gloves, swimming wear, socks.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-08,Arab Wear Trading,تجارة الملابس العربية,Trading,"Includes reselling of Arab ready made wear, such as dishdashas, ghotra, bishts, oqal and caps, also, women traditional cloak (aba) head covers, veils.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-09,Baby Wear Trading,تجارة ملابس الاطفال,Trading,"Includes reselling of children’s swaddling clothes, nappies, night wear, party clothes, shirts, trousers and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-10,Underwear Trading,تجارة الملابس الداخلية,Trading,"Includes reselling undergarments for men, women and children made of woven, knitted or crocheted fabric to be worn under other clothes, whether over or below the waist.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-11,Men's Garment Trading,تجارة الملابس الجاهزة الرجالية,Trading,"Includes reselling men's garments, such as shirts, suits, coats, jackets, socks, ties and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-12,Ladies Garment Trading,تجارة الملابس الجاهزة النسائية,Trading,"Includes reselling ladies' shirts and trousers, party and evening dresses, maternity clothes, wedding dresses, night and in-house wear, beach and bath wear, scarves and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-13,Sports Wear Trading,تجارة الملابس الرياضية,Trading,"Includes reselling sportswear for exercising sports, including socks, shoes, hats, gloves, balls, bags and training suits.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-14,Protective Garments & Vests Trading,تجارة الملابس والسترات الواقية,Trading,"Includes reselling protective costumes and vests for different uses, like fire resistant wears, athletes and medical wears, also, body cooling vests, which can be wore under and above clothes.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-15,Uniforms Trading,تجارة الملابس والازياء الرسمية,Trading,"Includes reselling readymade uniforms, such as military, hotels, airlines, school uniforms and others, as well as requisites including, hats, helmets, socks, gloves, shoes, ties, bags, badges and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-16,Slippers & Sandals Trading,تجارة النعال والصنادل,Trading,Includes reselling men and women open-sided slippers and sandals made for different uses and by any material.,No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-17,Shoe Trading,تجارة الاحذية,Trading,"Includes reselling footwear made from leather, rubber or plastic and intended to protect and comfort the human foot while doing various activities.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-20,Garments Accessories Trading,تجارة مستلزمات الملابس,Trading,"Includes reselling wide range of metal and plastic garments accessories such as buttons, fabrics interlining, beads, fancy belt buckles, hooks, snap fasteners, safety pins, tags, packing clips.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-21,Sticks & Umbrellas Trading,تجارة العصي والمظلات اليدوية,Trading,"Includes reselling sun-umbrellas, walking sticks, seat-sticks.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-22,"Tents, Awnings & Tarpaulin Trading",تجارة الخيام والمظلات والطرابيل,Trading,"Includes reselling tents and awnings for protecting used shops and building of sun and rain, also, covers and tarpaulin used to cover goods stored in open air, or to cover goods transported in vehicles, as well as fabrics and threads for mechanical or manual tailoring of these items.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-23,Threads & Yarns Trading,تجارة الخيوط والغزول,Trading,"Includes reselling all kinds of threads for tailoring and embroidering garments, curtains, drapery and upholstery, also, includes cotton and wool yarns used in weaving and spinning industries.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5131-24,Curtains & Upholstery Fabrics Trading,تجارة اقمشة الستائر واقمشة التنجيد,Trading,Includes reselling different fabrics for curtains and upholstery.,No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5139-01,Handbags & Leather Products Trading,تجارة حقائب اليد والمنتجات الجلدية,Trading,"Includes reselling of handbags made out of leather, fiber, textile or plastic, also, leather purses, belts, leather, and office requisites, leather clothes are excluded.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5139-02,Illustrated Magazines & Catalogues Trading,تجارة المجلات والمصورات المتخصصة,Trading,"Includes reselling of magazines, directories, catalogues and other specialized publications used for promoting fashions, furniture, interior designs, household items and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5139-03,"Books, Newspapers & Publications Trading",تجارة الكتب والصحف والمطبوعات الاخرى,Trading,Includes reselling different knowledge books in different languages as well as magazines and newspapers.,No,Any Type,No Restriction,,"50,000 AED per company",,
Personal & Household Goods,5139-04,"Stationery, Drawing & Writing Instruments Trading",تجارة الادوات المكتبية وادوات الكتابة والرسم,Trading,"Includes reselling stationery, such as copying and writing paper, notebooks, record books, various types of pens and pencils, rulers, sharpeners, paper perforators, paper clipping requisites, ready stamps, typewriters ribbons and other stationery materials, also, drawing requisites including geometrical drawing pencils, decorative pens, rulers, triangular rulers, colors, color pencils, ink, drawing paper and others.",No,Any Type,No Restriction,,"50,000 AED per company",,
